적용년월,시도코드,시도명,사용건수,인원수,사용금액
2009-01,11,서울특별시,93306,43756,2850373887
2009-01,26,부산광역시,32576,14813,954995495
2009-01,27,대구광역시,25436,11809,769629400
2009-01,28,인천광역시,24107,10955,686931700
2009-01,29,광주광역시,17585,8577,531835016
2009-01,30,대전광역시,17179,8251,543626930
2009-01,31,울산광역시,12323,5298,342273225
2009-01,36,세종특별자치시,347,165,9155200
2009-01,41,경기도,117408,56159,3494306869
2009-01,42,강원도,11551,5582,338367274
2009-01,43,충청북도,13084,6528,395261850
2009-01,44,충청남도,14812,7560,448895305
2009-01,45,전라북도,16408,7885,487969255
2009-01,46,전라남도,11759,5778,337947854
2009-01,47,경상북도,18600,9219,559286961
2009-01,48,경상남도,26268,13061,783196190
2009-01,50,제주특별자치도,5777,2781,164892270
2009-02,11,서울특별시,80263,43787,2366608707
2009-02,26,부산광역시,27581,14413,776535625
2009-02,27,대구광역시,20672,11559,639761810
2009-02,28,인천광역시,20703,10827,566045997
2009-02,29,광주광역시,14612,8306,427842811
2009-02,30,대전광역시,13955,8095,431355690
2009-02,31,울산광역시,10547,5279,279626240
2009-02,36,세종특별자치시,274,148,7027590
2009-02,41,경기도,100398,55791,2887561655
2009-02,42,강원도,10216,5646,289415444
2009-02,43,충청북도,11099,6397,334885230
2009-02,44,충청남도,12820,7618,378977326
2009-02,45,전라북도,13719,7621,392057510
2009-02,46,전라남도,10105,5755,281644388
2009-02,47,경상북도,15896,9105,468181188
2009-02,48,경상남도,22689,13043,656272790
2009-02,50,제주특별자치도,4935,2708,136286050
2009-03,11,서울특별시,77759,43567,2225211915
2009-03,26,부산광역시,26218,14321,715748750
2009-03,27,대구광역시,19438,11472,585897050
2009-03,28,인천광역시,20359,10890,542832490
2009-03,29,광주광역시,14631,8333,411457967
2009-03,30,대전광역시,13266,8059,404549640
2009-03,31,울산광역시,10284,5330,258648709
2009-03,36,세종특별자치시,256,150,6255090
2009-03,41,경기도,98197,55775,2739829593
2009-03,42,강원도,9905,5647,270309025
2009-03,43,충청북도,10852,6495,322991445
2009-03,44,충청남도,12757,7568,364426001
2009-03,45,전라북도,13490,7657,376026890
2009-03,46,전라남도,10304,5953,278359596
2009-03,47,경상북도,15241,9032,437286098
2009-03,48,경상남도,22906,13302,641908080
2009-03,50,제주특별자치도,4862,2721,130099780
2009-04,11,서울특별시,68488,41273,1922593633
2009-04,26,부산광역시,22836,13436,612305538
2009-04,27,대구광역시,16816,10770,494439981
2009-04,28,인천광역시,17619,10237,454441605
2009-04,29,광주광역시,12761,7984,352152841
2009-04,30,대전광역시,11265,7513,334761254
2009-04,31,울산광역시,9163,5058,223272820
2009-04,36,세종특별자치시,271,154,6835660
