"행정구역","2024년04월_계_총인구수","2024년04월_계_연령구간인구수","2024년04월_계_0~9세","2024년04월_계_10~19세","2024년04월_계_20~29세","2024년04월_계_30~39세","2024년04월_계_40~49세","2024년04월_계_50~59세","2024년04월_계_60~69세","2024년04월_계_70~79세","2024년04월_계_80~89세","2024년04월_계_90~99세","2024년04월_계_100세 이상","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"전국  (0000000000)","51,285,153","51,285,153","3,259,937","4,634,906","6,110,713","6,573,833","7,847,315","8,726,337","7,713,462","4,022,944","2,074,262","312,668","8,776","25,541,855","25,541,855","1,670,522","2,383,877","3,188,391","3,424,493","3,990,236","4,401,514","3,797,455","1,848,919","762,637","72,254","1,557","25,743,298","25,743,298","1,589,415","2,251,029","2,922,322","3,149,340","3,857,079","4,324,823","3,916,007","2,174,025","1,311,625","240,414","7,219"
"서울특별시  (1100000000)","9,378,269","9,378,269","502,083","731,176","1,345,398","1,429,039","1,407,189","1,497,051","1,323,231","747,791","346,723","47,085","1,503","4,532,115","4,532,115","257,434","373,543","636,314","714,841","696,275","735,836","626,231","338,168","140,478","12,647","348","4,846,154","4,846,154","244,649","357,633","709,084","714,198","710,914","761,215","697,000","409,623","206,245","34,438","1,155"
"부산광역시  (2600000000)","3,284,947","3,284,947","189,986","263,058","370,874","389,467","479,849","541,104","562,481","325,200","144,497","17,988","443","1,600,234","1,600,234","97,338","134,835","190,213","200,704","242,536","264,472","264,702","146,559","54,680","4,127","68","1,684,713","1,684,713","92,648","128,223","180,661","188,763","237,313","276,632","297,779","178,641","89,817","13,861","375"
"대구광역시  (2700000000)","2,368,670","2,368,670","147,411","212,696","276,301","280,390","351,733","420,183","369,956","197,593","99,059","13,082","266","1,163,001","1,163,001","75,683","109,517","145,559","149,539","174,356","205,049","176,895","87,344","35,943","3,080","36","1,205,669","1,205,669","71,728","103,179","130,742","130,851","177,377","215,134","193,061","110,249","63,116","10,002","230"
"인천광역시  (2800000000)","3,008,484","3,008,484","199,976","271,930","360,037","416,418","479,211","517,818","449,099","201,774","96,292","15,437","492","1,504,078","1,504,078","102,499","139,512","186,404","217,241","246,478","258,020","221,753","93,725","35,004","3,345","97","1,504,406","1,504,406","97,477","132,418","173,633","199,177","232,733","259,798","227,346","108,049","61,288","12,092","395"
"광주광역시  (2900000000)","1,414,862","1,414,862","97,121","146,430","187,340","173,385","224,992","242,635","186,969","99,979","48,683","7,125","203","698,628","698,628","49,693","75,518","97,871","89,654","112,162","120,015","89,547","44,245","18,272","1,628","23","716,234","716,234","47,428","70,912","89,469","83,731","112,830","122,620","97,422","55,734","30,411","5,497","180"
"대전광역시  (3000000000)","1,441,272","1,441,272","94,665","137,121","197,688","188,386","217,284","244,359","203,871","100,749","49,555","7,376","218","718,797","718,797","48,740","70,610","103,456","99,830","108,583","121,763","98,919","46,398","18,618","1,843","37","722,475","722,475","45,925","66,511","94,232","88,556","108,701","122,596","104,952","54,351","30,937","5,533","181"
"울산광역시  (3100000000)","1,101,059","1,101,059","76,781","109,050","120,503","136,317","176,235","204,576","171,808","73,386","28,459","3,857","87","566,255","566,255","39,426","56,902","68,770","74,300","90,913","102,627","86,731","35,430","10,373","772","11","534,804","534,804","37,355","52,148","51,733","62,017","85,322","101,949","85,077","37,956","18,086","3,085","76"
"세종특별자치시  (3600000000)","387,726","387,726","42,795","51,145","37,365","59,017","77,254","55,542","37,809","16,852","8,341","1,566","40","193,099","193,099","21,765","25,825","18,976","29,136","38,173","29,026","18,838","8,004","3,024","328","4","194,627","194,627","21,030","25,320","18,389","29,881","39,081","26,516","18,971","8,848","5,317","1,238","36"
"경기도  (4100000000)","13,648,156","13,648,156","970,596","1,317,378","1,661,407","1,882,433","2,240,377","2,350,861","1,863,454","863,125","430,814","65,769","1,942","6,863,252","6,863,252","496,814","674,218","873,327","982,608","1,142,666","1,184,546","929,907","399,738","162,927","16,063","438","6,784,904","6,784,904","473,782","643,160","788,080","899,825","1,097,711","1,166,315","933,547","463,387","267,887","49,706","1,504"
"강원특별자치도  (5100000000)","1,523,661","1,523,661","89,050","128,063","160,485","157,955","205,342","262,506","277,500","143,818","85,463","13,062","417","766,338","766,338","45,416","66,436","90,011","84,481","104,530","135,457","139,169","66,729","31,127","2,880","102","757,323","757,323","43,634","61,627","70,474","73,474","100,812","127,049","138,331","77,089","54,336","10,182","315"
"충청북도  (4300000000)","1,590,854","1,590,854","100,966","143,719","178,470","187,226","228,237","273,378","260,271","130,527","76,065","11,710","285","809,485","809,485","51,804","74,212","98,899","102,663","118,366","140,602","131,805","61,417","27,142","2,524","51","781,369","781,369","49,162","69,507","79,571","84,563","109,871","132,776","128,466","69,110","48,923","9,186","234"
"충청남도  (4400000000)","2,133,828","2,133,828","140,861","201,982","223,516","251,052","322,087","353,184","329,082","180,437","111,540","19,587","500","1,094,336","1,094,336","72,132","104,532","124,445","136,666","171,402","187,697","167,532","85,226","39,900","4,734","70","1,039,492","1,039,492","68,729","97,450","99,071","114,386","150,685","165,487","161,550","95,211","71,640","14,853","430"
"전북특별자치도  (5200000000)","1,748,047","1,748,047","99,736","162,727","186,710","172,154","241,121","303,017","286,726","173,407","104,388","17,573","488","870,133","870,133","50,963","84,193","101,215","89,796","123,451","157,446","143,226","79,722","36,162","3,899","60","877,914","877,914","48,773","78,534","85,495","82,358","117,670","145,571","143,500","93,685","68,226","13,674","428"
"전라남도  (4600000000)","1,797,199","1,797,199","105,130","157,332","174,288","168,457","237,837","311,361","308,238","190,588","123,299","20,073","596","906,512","906,512","53,703","80,985","97,629","89,145","125,982","168,049","158,329","88,085","40,510","4,020","75","890,687","890,687","51,427","76,347","76,659","79,312","111,855","143,312","149,909","102,503","82,789","16,053","521"
"경상북도  (4700000000)","2,546,120","2,546,120","147,475","216,649","242,875","257,421","351,917","445,036","453,097","255,879","151,333","23,860","578","1,287,249","1,287,249","75,816","113,475","139,339","140,409","183,135","230,716","228,713","119,125","51,372","5,094","55","1,258,871","1,258,871","71,659","103,174","103,536","117,012","168,782","214,320","224,384","136,754","99,961","18,766","523"
"경상남도  (4800000000)","3,239,224","3,239,224","205,302","314,351","315,171","347,048","499,277","584,233","534,653","273,722","142,676","22,347","444","1,631,669","1,631,669","105,672","163,283","177,466","184,069","256,671","298,390","267,587","126,804","47,364","4,298","65","1,607,555","1,607,555","99,630","151,068","137,705","162,979","242,606","285,843","267,066","146,918","95,312","18,049","379"
"제주특별자치도  (5000000000)","672,775","672,775","50,003","70,099","72,285","77,668","107,373","119,493","95,217","48,117","27,075","5,171","274","336,674","336,674","25,624","36,281","38,497","39,411","54,557","61,803","47,571","22,200","9,741","972","17","336,101","336,101","24,379","33,818","33,788","38,257","52,816","57,690","47,646","25,917","17,334","4,199","257"
