STD_YM,SEX_CD,AGE_CD,TIME_CD,PURH_AMT
201908,2,4,3,5000
201902,1,4,3,381000
201902,1,5,5,3000
201910,1,5,3,49000
201807,1,5,5,32000
201904,2,6,4,10000
201906,1,3,6,4000
201909,1,3,2,5000
201910,2,2,4,2000
201905,1,6,4,1000
201809,2,3,4,7000
201808,2,4,5,8000
201809,2,4,4,2000
201803,2,5,2,6000
201901,2,4,2,7000
201809,2,4,3,4000
201903,2,4,6,1000
201802,1,2,3,17000
201807,2,6,5,1000
201812,2,5,5,3000
201807,2,2,4,9000
201904,2,5,3,1000
201908,2,5,6,16000
201802,1,5,5,3000
201811,2,4,3,18000
201807,2,6,5,3000
201811,2,4,3,10000
201912,2,3,5,5000
201808,2,7,5,6000
201806,1,5,6,2000
201907,2,4,5,27000
201808,2,5,5,2000
201812,2,5,5,34000
201906,2,4,4,4000
201812,2,7,5,3000
201810,2,4,4,7000
201812,2,6,6,11000
201805,1,6,5,3000
201903,1,5,5,6000
201809,2,3,6,4000
201807,2,3,6,2000
201803,1,4,4,6000
201811,1,5,6,6000
201809,2,3,3,8000
201907,2,6,5,18000
201907,2,2,3,20000
201804,2,4,6,1739000
201910,1,4,5,15000
201904,2,3,5,5000
201808,2,6,4,2000
201809,2,4,3,1000
201809,1,5,4,2000
201801,1,3,5,7000
201910,2,3,3,5000
201908,2,4,5,7000
201809,1,3,5,2000
201803,2,3,3,1000
201908,2,4,5,1000
201809,2,5,5,65000
201810,2,6,5,36000
201906,2,3,4,2000
201907,1,2,5,2000
201811,1,3,3,1000
201911,1,6,4,1000
201912,2,3,4,4000
201908,2,5,3,4000
201910,2,5,3,4000
201803,2,3,4,3000
201807,2,4,5,5000
201909,2,4,5,2000
201801,2,6,5,2000
201807,2,4,3,11000
201909,2,2,4,8000
201809,1,4,3,7000
201912,1,2,6,34000
201912,2,3,3,1000
201903,2,3,2,7000
201905,2,5,4,1000
201908,2,2,3,1000
201804,1,4,6,4000
201909,2,3,6,3000
201801,1,3,6,1000
201910,2,5,5,4000
201902,2,4,6,5000
201806,2,6,5,5000
201910,2,3,5,1000
201809,1,5,3,1000
201907,2,3,4,2000
201805,2,3,4,3000
201801,2,7,2,7000
201812,2,5,6,6000
201906,2,3,5,2000
201910,2,4,5,8000
201907,2,6,3,3000
201810,1,6,5,6000
201905,1,3,3,10000
201807,1,4,5,3000
201812,1,3,5,3000
201810,1,3,6,4000
201802,2,4,4,6000
201901,2,5,5,6000
201810,2,5,5,7000
201809,2,4,3,5000
201904,2,4,5,4000
201907,2,5,4,31000
201807,1,5,5,1000
201909,2,5,2,2000
201904,2,2,4,6000
201901,1,5,5,3000
201808,1,5,5,12000
201910,2,6,5,6000
201808,2,7,5,9000
201908,1,5,4,4000
201805,2,5,4,1000
201909,2,6,3,3000
201806,2,2,4,36000
201901,2,4,4,12000
201912,1,5,4,8000
