"대분류코드(L_CLASS_CD)","대분류명(L_CLASS_NM)","중분류코드(M_CLASS_CD)","중분류명(M_CLASS_NM)","소분류코드(S_CLASS_CD)","소분류명(S_CLASS_NM)","세부분류코드(DETAL_CLASS_CD)","세부분류명(DETAL_CLASS_NM)","통계청분류코드(STAT_CLASS_CD)","통계청분류명(STAT_CLASS_NM)"
"01","식품","0101","가공식품","010101","조미료","01010101","핵산조미료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010101","조미료","01010102","종합조미료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010101","조미료","01010103","육류양념장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010101","조미료","01010104","일반양념장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010101","조미료","01010199","기타조미료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010201","식초","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010202","식염","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010203","케첩","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010204","마요네즈","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010205","소스류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010206","설탕","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010207","물엿","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010208","액젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010209","요리주","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010210","볶음메이트","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010211","육수","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010212","즉석국류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010213","드레싱류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010214","시럽류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010102","조미식품","01010299","기타조미식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010301","간장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010302","된장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010303","고추장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010304","춘장(짜장)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010305","청국장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010306","혼합장(쌈장)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010307","메주","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010103","장류","01010399","기타장류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010401","고추가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010402","후추가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010403","겨자","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010404","계피","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010405","와사비","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010406","마늘가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010407","생강가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010408","볶음깨","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010409","천연분말조미료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010104","향신료","01010499","기타향신료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010501","참기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010502","콩기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010504","옥수수기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010505","카놀라유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010506","미강유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010507","고추씨기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010508","혼합식용유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010509","마가린류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010511","맛기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010512","들기름","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010513","해바라기유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010514","올리브유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010515","야자유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010516","포도씨유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010105","식용유","01010599","기타식용유","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010601","소시지류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010602","일반햄류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010603","베이컨류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010604","캔햄류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010605","바베큐류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010606","어육소시지류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010607","조리냉장식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010106","육가공품","01010699","기타육가공품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010701","일반국수","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010702","당면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010703","냉면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010704","칼국수","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010705","수제비","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010706","쫄면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010707","떡국","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010708","봉지라면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010709","용기라면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010710","짜장면","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010711","막국수","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010712","우동","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010713","콩국수","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010714","파스타류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010715","떡볶이","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010716","냉동면류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010107","면류","01010799","기타면류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010108","병/통조림","01010801","농산물 병/통조림","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010108","병/통조림","01010802","수산물 병/통조림","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010108","병/통조림","01010803","축산물 병/통조림","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010108","병/통조림","01010804","참치 통조림","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010108","병/통조림","01010899","기타병/통조림","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010109","간편가정식/편이식","01010901","샐러드류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010109","간편가정식/편이식","01010902","도시락류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010109","간편가정식/편이식","01010903","삼각김밥류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010109","간편가정식/편이식","01010904","편이간편식류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010109","간편가정식/편이식","01010999","기타간편가정식/편이식","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011001","배추김치류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011002","무김치류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011003","김치기타류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011004","장아찌류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011005","단무지","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011006","반찬류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010110","김치/절임식품","01011099","기타김치/절임식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011101","만두류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011102","튀김류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011103","피자류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011104","조리냉동식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011105","농산소재류(냉동)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011106","수산소재류(냉동)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011107","축산소재류(냉장/냉동)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011108","떡갈비/동그랑땡","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011109","냉동탕/찌개류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010111","냉동식품","01011199","기타냉동식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010112","카레/스프류","01011201","분말카레","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010112","카레/스프류","01011202","분말스프","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010112","카레/스프류","01011204","분말죽류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010112","카레/스프류","01011205","분말짜장","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010112","카레/스프류","01011299","기타카레/스프류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011301","건오징어류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011302","건멸치류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011303","건새우류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011304","건조기류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011305","건어패류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011306","김","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011307","건미역류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011308","한천","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011309","다시마","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010113","수산가공식품","01011399","기타수산가공식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011401","새우젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011402","멸치젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011403","명란젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011404","창란젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011405","조개젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011406","오징어젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011407","어리굴젓","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010114","젓갈류","01011499","기타젓갈류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010115","어육연제품류","01011501","어묵","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010115","어육연제품류","01011502","맛살","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010115","어육연제품류","01011503","어육햄","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011601","일반두부","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011602","순두부","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011603","연두부","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011604","유부","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011605","묵류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011606","곤약","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010116","연식품","01011699","기타연식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011701","전분","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011702","밀가루/빵가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011703","부침가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011704","튀김가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011705","도너스가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011706","핫케익가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011707","미숫가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011708","콩가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011709","깨가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011710","찹쌀가루","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011711","프리믹스","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011712","선식/생식","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010117","전분/분말류","01011799","기타전분/분말류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011801","간편카레류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011802","간편면류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011803","간편스프류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011804","가공밥","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011805","간편탕류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011806","간편죽류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011807","간편짜장류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011808","간편식육제품류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011809","조리냉장탕류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010118","레토르트식품","01011899","기타레토르트식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011901","이유식(분말)","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011902","유아용음료","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011903","유아용과자","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011904","어린이영양식","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011905","영/유아식","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010119","유아용 식품","01011999","기타유아용식품","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010120","얼음류","01012001","식용얼음류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010120","얼음류","01012099","기타얼음류","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010188","가공식품세트","01018801","조미료선물세트","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010188","가공식품세트","01018802","젓갈선물세트","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010188","가공식품세트","01018803","육가공선물세트","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010188","가공식품세트","01018804","식용유선물세트","A","식료품 및 비주류음료"
"01","식품","0101","가공식품","010188","가공식품세트","01018805","수산통조림선물세트","A","식료품 및 비주류음료"
